"number"|"type"|"state"|"u_change_outcome"|"u_approval_requested"|"approval"|"short_description"|"description"|"assignment_group"|"cmdb_ci"|"u_request_window_exception"|"start_date"|"end_date"|"work_start"|"work_end"|"risk"|"u_user_impact"|"u_technical_impact"
"CHG0045083"|"Normal"|"Open"|""|"1/19/2021 22:41"|"Approved"|"Update Palo Alto devices from version 9.0.9 HF1 to 9.0.11 - UPC"|"Update the University Park Campus border firewalls.  Both are using version 9.0.9 HF1 at this time."|"Firewall Services"|"cal-7050A-bfw"|"False"|"2/11/2021 22:00"|"2/12/2021 2:00"|""|""|"Medium"|"No expected user impact is anticipated given the highly available design of the firewalls.
If there is indeed an issue with one of the firewalls after the code upgrade, traffic would still forward on other firewall."|"This release is the current vendor recommended version of OS, includes general bug and performance fixes."
"CHG0045135"|"Normal"|"Open"|""|"1/29/2021 15:55"|"Approved"|"Migration of Trojan Check and Device Registration from Citrix to AVI load balancer"|"This is the beginning of a larger migration project for the ITS Service Availability project. "|"Network Engineering"|"Load Balancer Service (CAL)"|"False"|"2/6/2021 22:00"|"2/7/2021 2:00"|""|""|"Low"|"Users will experience a down time as we move from Citrix to AVI load balancers"|"Sujitha "
"CHG0045027"|"Normal"|"Pending"|""|""|"Not Requested"|"Change order of email filtering to scan all email for malware - align with current best practices"|"Some email if currently exempted for spam can bypass malware scans and other scans.
(This applies to 160 current exemptions and 49 custom rules in Proofpoint, which we are continuing to clean up.)
Reordering the scan path will ensure that all email gets scanned for malware to close this loophole.

For example, if email is send on behalf of Carol Folt and we are asked to exempt it, email with malicious content could be sent or received.
After the change, the malicious would be caught (if known) and the email quarantined.
We do receive a few requests a month to investigate email getting quarantined coming inbound or going outbound.  Outbound email often has attached content from malware.  Inbound email usually has a malicious link included in the email.

These changes to policy may be an issue for phishing email being reported to the Security Team.  We may need to create new policies explicitly for security@usc.edu and phishing@usc.edu to not block email for being malicious as that information is required for investigating a case.

Reordering changes per current policies are in the attached PP-* images.
"|"Information Security Incident Response"|"ProofPoint"|"False"|"2/5/2021 22:00"|"2/5/2021 23:00"|""|""|"Low"|"Email recipients at USC and outside may see a little less email from specific addresses and IP ranges if email is identified as Malware, Impostor or Phishing email.
Email senders in the Safe list may not have email go through if email is identified as Malware, Impostor or Phishing email."|"Only affects email delivery if email is identified as Malware, Impostor or Phishing email.
Not a large amount of email in the total of email being sent/received.
Security Incident Response may have a few extra mail delivery issues to investigate a year for non-delivery."
"CHG0045140"|"Normal"|"Open"|""|"1/29/2021 13:14"|"Approved"|"Zoom Client setting disable the inactivity timer which is currently set to 120m"|"Zoom Client setting:  disable the inactivity timer which is currently set to 120m"|"Zoom Support"|"Zoom"|"False"|"2/5/2021 17:00"|"2/5/2021 18:00"|""|""|"Low"|"Users will not need to log back into Zoom client after 120 minutes of idle time. "|"This change will allow Zoom client to stay active and deliver calls to Zoom phone clients. "
"CHG0045147"|"Normal"|"Pending"|""|""|"Not Requested"|"CAL-SW-DB01-NPM Server SQL: Database file is running low on space on Node: CAL-SW-DB01-NPM - Maintenance outage to correct"|"CAL-SW-DB01-NPM Server SQL: Database file is running low on space on Node: CAL-SW-DB01-NPM - Maintenance outage to correct"|"Solarwinds Admin"|"SolarWinds"|"False"|"2/5/2021 17:00"|"2/5/2021 23:59"|""|""|"Low"|"Monitoring services are not available and all users who use the tool. It's just internal application No User Impact"|"Solarwinds services take information from this host CAL-SW-DB01-NPM, so these hosts CAL-SW-APS-01,CAL-SW-APS-02,CAL-SW-APS-03,CAL-SW-DB01-NPM,CAL-SW-DB01-NTA,CAL-SW-DB02-NPM,cal-sw-db02-nta,CAL-SW-EXTWEB-01,cal-sw-intweb-1,CAL-SW-INTWEB-2,CAL-SW-MPS-01,CAL-SW-MPS-02,CAL-SWSM-APS-01,CAL-SWSM-APS-02,HSC-SW-APS-01,HSC-SW-APS-02,HSC-SWSM-APS-01,HSC-SWSM-APS-02,nrt-sw-aps-01,nrt-sw-aps-02 will be affected during this change."
"CHG0045150"|"Standard"|"Pending"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches GTT | TKE Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

Following switches will be upgraded during the activity:

GTT-2930-FL6
TKE-3810-FL3

Zoom Link: https://usc.zoom.us/j/99471485258?pwd=TnNIYmxSM1RjQ0Y4Q3Jmbkk1VTZDUT09"|"ITS OC"|"gtt-d2-1"|"False"|"2/4/2021 22:00"|"2/5/2021 2:00"|""|""|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045138"|"Normal"|"Open"|""|"1/29/2021 11:03"|"Approved"|"Establish redundant connection with Colo customer CHLA"|"CHLA is ITS Colo Customer in CAL room 450.
Currently they connect with ITS with one connection to CAL-7280-COL2. There is no redundancy in case ITS does the code upgrade on Colo switches, they always announce downtime to their end users. 
To avoid this service outage in future, a second link to ITS CAL-7280-COL4 is provided.

Maintenance window is on request from user at 8Pm.

Join Zoom Meeting 
https://usc.zoom.us/j/94523753249?pwd=VVY4QnNPNHlJdjlQV1E3SVRCVm5ZUT09 
Meeting ID: 945 2375 3249 
Passcode: 137742 
"|"Network Engineering"|"cal-7280-col2"|"False"|"2/4/2021 20:00"|"2/4/2021 22:00"|""|""|"Medium"|"During this maintenance CHLA will reconfigure their network to use new IP addressing.
Their Colo network will not be available as they reconfigure.
"|"ITS to establish redundancy for any future maintenance. "
"CHG0045145"|"Normal"|"Cancelled"|""|""|"Not Requested"|"SolarWinds Support recommends rebuilding the indexes of the database SolarWindsOrion. "|"SolarWinds Support recommends rebuilding the indexes of the database SolarWindsOrion.   This rebuild will require several hours of rebuild time and so an outage of the SolarWinds system will be required."|"Database Administrators"|"SolarWinds"|"False"|"2/3/2021 17:00"|"2/3/2021 23:59"|""|""|"Low"|"7 hour outage"|"Increase the service level of SolarWinds"
"CHG0045142"|"Normal"|"Cancelled"|""|""|"Not Requested"|"SolarWinds Support recommends rebuilding the indexes of the database SolarWindsOrion. "|"SolarWinds Support recommends rebuilding the indexes of the database SolarWindsOrion.   This rebuild will require several hours of rebuild time and so an outage of the SolarWinds system will be required."|"Network Engineering"|"cal-sw-db01-npm"|"True"|"2/3/2021 17:00"|"2/3/2021 23:59"|""|""|"Low"|"7 hour outage"|"Increase the service level of SolarWinds"
"CHG0045149"|"Standard"|"Closed"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches GEH Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

Following switches will be upgraded during the activity:

GEH-3810-FL1

Zoom Link: https://usc.zoom.us/j/93391717865?pwd=Ny9TQmtpZ0JzQU9DczlDbFBWVHJGUT09"|"ITS OC"|"GEH-3810-FL1"|"False"|"2/2/2021 22:00"|"2/3/2021 2:00"|"2/2/2021 22:18"|"2/2/2021 22:34"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045124"|"Normal"|"Implemented � Successful"|"Implemented � Successful"|"1/29/2021 8:44"|"Approved"|"Establish iBGP peering between HSV & NRT border routers."|"HSC campus is currently been served by HSV-7280-BR1 router. A second border router in NRT (NRT-7280-BR1) was recently deployed, however, iBGP needs to be established between these 2 border routers to share routes. This is a requirement before establishing eBGP peering between NRT border router and HSC border firewalls. 


Join Zoom Meeting 
https://usc.zoom.us/j/94726207726?pwd=V3c3TGc2Yi9vNVEvOXZrNjVsS0ovZz09 
Meeting ID: 947 2620 7726 
Passcode: 380567 
"|"Network Engineering"|"hsv-7280-br1"|"False"|"2/2/2021 22:00"|"2/2/2021 23:59"|"2/2/2021 22:00"|"2/2/2021 22:52"|"Low"|"No user impact anticipated. "|"Establishment of iBGP peering between HSV-7280-BR1 & NRT-7280-BR1. "
"CHG0045148"|"Standard"|"Implemented � Successful"|"Implemented � Successful"|""|"Approved"|"Change in Office 365 Admin Console to enable calendar free-busy sharing with another USC school's Office 365 tenant."|"Configure Calendar Free-Busy Sharing with president.usc.edu domain.
Configure the simple change in the Office 365 Exchange Admin Center when enabling organizational calendar sharing with another USC school's Office 365 tenant."|"Enterprise Collaboration Team"|"Email"|"False"|"2/2/2021 14:00"|"2/2/2021 14:30"|"2/2/2021 14:00"|"2/2/2021 14:10"|"Low"|"Users will begin to see calendar free-busy availability with colleagues in the other Office 365 tenant."|"None."
"CHG0045119"|"Standard"|"Closed"|""|""|"Approved"|"HPE Firmware Upgrade in Building Floor switches - FPM Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

FPM-5406-FL1

Zoom Link: https://usc.zoom.us/j/92760989152?pwd=cHlPRlJCM2d5WnYvOWs1QXVDRXhVUT09"|"ITS OC"|"FPM-5406-FL1"|"False"|"2/1/2021 22:00"|"2/2/2021 2:00"|"2/1/2021 22:15"|"2/1/2021 22:24"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045127"|"Standard"|"Closed"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches - FMT Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

FMT-5406-FL1

Zoom Link: https://usc.zoom.us/j/97150007749?pwd=eEhkRHFGdXE4OWNwWGRhbFcrODcxUT09"|"ITS OC"|"FMT-5406-FL1"|"False"|"2/1/2021 22:00"|"2/2/2021 2:00"|"2/1/2021 22:00"|"2/1/2021 22:10"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045114"|"Standard"|"Closed"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switch. | FMH Building."|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

FMH-3810-FL1

Zoom link - https://usc.zoom.us/j/91737805824?pwd=SDl3aUVEU1NTenBITHNnbFdNamlGZz09

"|"ITS OC"|"FMH-3810-FL1"|"False"|"1/31/2021 22:00"|"2/1/2021 2:00"|"1/31/2021 22:45"|"1/31/2021 23:00"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045126"|"Standard"|"Closed"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches - DXM Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

DXM-5412-FL1

Zoom link: https://usc.zoom.us/j/96188977564?pwd=NkVZM1IxM1pOMU9xYUFiRnd4M24zdz09"|"ITS OC"|"DXM-5412-FL1"|"False"|"1/31/2021 22:00"|"2/1/2021 2:00"|"1/31/2021 22:00"|"1/31/2021 22:16"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045128"|"Standard"|"Closed"|""|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches - FIG Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

FIG-5406-FL1

Zoom Link: 

https://usc.zoom.us/j/92663092523?pwd=WUFTOWhxY0hNcmxvaUdDTVgvWVk0dz09

"|"ITS OC"|"fig-5406-fl1"|"False"|"1/30/2021 22:00"|"1/31/2021 2:00"|"1/30/2021 22:00"|"1/30/2021 22:10"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045102"|"Normal"|"Closed"|"Implemented � Successful"|"1/26/2021 17:29"|"Approved"|"Roll back code on the data center firewall to 5.6.7. Note there will be a service outage for items behind the Data Center Firewall"|"Due to memory issues on the Data center firewall, we are rolling back to version 5.6.7 to obtain stability for the appliance. 
Note there will be a service outage for items behind the Data Center Firewall - 5 to 15 minutes.

Some of the services affected during this maintenance window:

Shibboleth
Trojancheck
My.usc.edu
You.usc.edu
Vault
Customsites
Employees.usc.edu

Fortinet TAC and our Account team will be on during this call to assist with this activity.

Join Zoom Meeting 
https://usc.zoom.us/j/92686479806?pwd=Wm1WcHZVS3A1QTEzVWVnb3ovQTFvQT09 
Meeting ID: 926 8647 9806 
Passcode: 525417 
One tap mobile 
+16699006833,,92686479806# US (San Jose) 
+12532158782,,92686479806# US (Tacoma) 


"|"Firewall Services"|"Firewalls (Fortinet)"|"True"|"1/30/2021 3:30"|"1/30/2021 7:30"|"1/29/2021 3:30"|"1/29/2021 5:47"|"Medium"|"There will be an outage - sessions will be lost, due to breaking High Availability between the devices, in order to perform the downgrade. "|"The Firewall team will need to break HA and update the firewalls without being able to rely on high availability. An outage will be sustained
"
"CHG0045125"|"Standard"|"Closed"|"Implemented � Successful"|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches |  DWE & EPS  Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

DWE-2930-FL1
EPS-3810-FL1

Zoom link - 

https://usc.zoom.us/j/93185851142?pwd=Z1BQMlA4VmVsWjltL3ZiZWFOVGxOQT09


"|"ITS OC"|"DWE-2930-FL1"|"False"|"1/29/2021 22:00"|"1/30/2021 2:00"|"1/29/2021 22:22"|"1/29/2021 22:37"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045041"|"Normal"|"Closed"|"Implemented � Successful"|"1/22/2021 13:42"|"Approved"|"Zoom ITS Main Account remove SAML Mapping for Display Name"|"Zoom ITS Main Account remove SAML Mapping for Display Name

This will add the ability for Zoom users in account 621181 to change their display name and add pronouns if desired.

Why - Zoom Users need the ability to change display name or add pronouns on their Zoom account. Currently there is no way for Zoom admins to change display names for zoom users.
"|"Voice Services"|"Zoom"|"False"|"1/29/2021 17:00"|"1/29/2021 17:30"|"1/29/2021 17:00"|"1/29/2021 17:15"|"Low"|"LOW"|"LOW"
"CHG0045137"|"Standard"|"Closed"|"Implemented � Successful"|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches | ELB Building."|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.


 ELB-3810-FL12


Zoom link - 

https://usc.zoom.us/j/97727459214?pwd=RmNvNnk0YWI4b3dKeTZpc0l1dEY5Zz09"|"ITS OC"|"elb-3810-fl1"|"False"|"1/28/2021 22:30"|"1/29/2021 2:30"|"1/28/2021 22:32"|"1/28/2021 22:41"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045115"|"Standard"|"Closed"|"Implemented � Successful"|""|"Not Requested"|"HPE Firmware Upgrade in Building Floor switches - DRC Building"|"The HPE floor switches in the campus buildings are running older software code which is prune to general system and security levels bugs.

The firmware upgrade will be done on all the HPE floor switches in the Building.

The floor switches will be offline between 5-7 mins during the time of the upgrade hence this upgrade can happen only when we receive approval from the building owners.

DRC-5406-FL1

Zoom Link: 

https://usc.zoom.us/j/99558268644?pwd=dnhxaWNkb2JXWHEzbDM4TEtyeEdVUT09
"|"ITS OC"|"DRC-5406-FL1"|"False"|"1/28/2021 22:00"|"1/29/2021 2:00"|"1/28/2021 22:08"|"1/28/2021 22:16"|"Low"|"Brief interruption of 5-7mins. Approval email for the maintenance window needs to be attached with the standard change"|"The upgrade will addresses a number of security and system level stability bugs."
"CHG0045080"|"Normal"|"Closed"|"Implemented � Successful"|"1/19/2021 22:41"|"Approved"|"Update Palo Alto devices from version 9.0.9 HF1 to 9.0.11 - HSC"|"Update the Health Sciences Campus border firewalls.  Both are using version 9.0.9 HF1 at this time."|"Firewall Services"|"hsv-7050a-bfw"|"False"|"1/28/2021 22:00"|"1/29/2021 2:00"|"1/28/2021 22:00"|"1/28/2021 23:15"|"Medium"|"No expected user impact is anticipated given the highly available design of the firewalls.
If there is indeed an issue with one of the firewalls after the code upgrade, traffic would still forward on other firewall."|"This release is the current vendor recommended version of OS, includes general bug and performance fixes."
"CHG0045120"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"ServiceNow non-impacting scheduled maintenance"|"ServiceNow changes can be made without disruption to service.  There is no requirement to bring the system offline when moving update sets or uploading data.  This standard change is for non-disruptive functional changes and fixes.  Larger more complex changes that require communication, training and a large amount of testing will be done during low usage times."|"ServiceNow Team"|"ServiceNow"|"False"|"1/28/2021 20:00"|"1/28/2021 23:00"|""|""|"Low"|"Deployment of update sets do not impact users and will be able to continue working uninterrupted.  Larger update sets are scheduled outside of high usage times."|"None.  System will be available."
"CHG0045136"|"Standard"|"Closed"|"Implemented � Successful"|""|"Approved"|"Upgrade DRB & KAP Arista BDs from 4.24.3M to 4.24.4M"|"Upgrade DRB & KAP Arista BDs from 4.24.3M to 4.24.4M"|"Network Engineering"|"drb-7050-bd1"|"False"|"1/28/2021 14:45"|"1/28/2021 16:45"|"1/28/2021 14:45"|"1/28/2021 15:45"|"Low"|"No user impact anticipated. BDs are redundant."|"Addresses a number of security and system level stability bugs."
